issue,date,red1,red2,red3
2013265,2013-09-29(日),03,03,07
2013266,2013-09-30(一),02,05,05
2013267,2013-10-01(二),00,01,05
2013268,2013-10-02(三),01,04,04
2013269,2013-10-03(四),01,06,06
2013270,2013-10-04(五),02,05,09
2013271,2013-10-05(六),03,05,08
2013272,2013-10-06(日),00,03,09
2013273,2013-10-07(一),05,06,08
2013274,2013-10-08(二),00,00,06
2013275,2013-10-09(三),00,02,05
2013276,2013-10-10(四),04,05,09
2013277,2013-10-11(五),03,03,09
2013278,2013-10-12(六),01,03,04
2013279,2013-10-13(日),00,04,09
2013280,2013-10-14(一),01,04,09
2013281,2013-10-15(二),00,00,05
2013282,2013-10-16(三),04,06,08
2013283,2013-10-17(四),04,05,07
2013284,2013-10-18(五),01,06,09
2013285,2013-10-19(六),01,05,06
2013286,2013-10-20(日),01,02,09
2013287,2013-10-21(一),00,00,02
2013288,2013-10-22(二),04,07,08
2013289,2013-10-23(三),00,04,07
2013290,2013-10-24(四),02,03,03
2013291,2013-10-25(五),06,06,07
2013292,2013-10-26(六),00,03,09
2013293,2013-10-27(日),05,06,09
2013294,2013-10-28(一),01,08,09
2013295,2013-10-29(二),02,03,04
2013296,2013-10-30(三),03,04,09
2013297,2013-10-31(四),00,03,08
2013298,2013-11-01(五),02,03,07
2013299,2013-11-02(六),00,02,07
2013300,2013-11-03(日),03,03,08
2013301,2013-11-04(一),06,07,07
2013302,2013-11-05(二),02,08,08
2013303,2013-11-06(三),02,08,09
2013304,2013-11-07(四),01,02,02
2013305,2013-11-08(五),00,06,08
2013306,2013-11-09(六),01,02,09
2013307,2013-11-10(日),04,06,09
2013308,2013-11-11(一),03,07,08
2013309,2013-11-12(二),02,08,09
2013310,2013-11-13(三),01,02,07
2013311,2013-11-14(四),03,05,08
2013312,2013-11-15(五),04,07,08
2013313,2013-11-16(六),08,08,09
2013314,2013-11-17(日),01,01,07
2013315,2013-11-18(一),08,09,09
2013316,2013-11-19(二),00,08,08
2013317,2013-11-20(三),01,07,09
2013318,2013-11-21(四),02,04,04
2013319,2013-11-22(五),00,04,06
2013320,2013-11-23(六),03,05,07
2013321,2013-11-24(日),07,08,09
2013322,2013-11-25(一),04,06,08
2013323,2013-11-26(二),01,01,04
2013324,2013-11-27(三),01,06,07
2013325,2013-11-28(四),03,06,08
2013326,2013-11-29(五),02,03,03
2013327,2013-11-30(六),00,04,05
2013328,2013-12-01(日),05,07,09
2013329,2013-12-02(一),02,05,09
2013330,2013-12-03(二),00,00,04
2013331,2013-12-04(三),02,02,04
2013332,2013-12-05(四),02,03,04
2013333,2013-12-06(五),07,08,09
